"Art (Niveau 1)","Slægt (Niveau 2)","Tribus (Niveau 3)","Underfamilie (Niveau 4)","Familie (Niveau 5)","Overfamilie (Niveau 6)","Orden (Niveau 7)",Referencetekst,Den_danske_roedliste,Dansk,Autor,Dansk_navn,Familie_dk,Synonymer
"Abax parallelepipedus",Abax,Pterostichini,Harpalinae,Carabidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Piller & Mitterpacher, 1783)","Bred muldløber",Løbebiller,ater
"Abdera affinis",Abdera,Dircaeini,Melandryinae,Melandryidae,Tenebrionidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Paykull, 1799)",,Svampespringere,
"Abdera bifasciata",Abdera,Dircaeini,Melandryinae,Melandryidae,Tenebrionidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",VU,Ja,"Marsham, 1802",,Svampespringere,biflexuosa
"Abdera flexuosa",Abdera,Dircaeini,Melandryinae,Melandryidae,Tenebrionidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Paykull, 1799)",,Svampespringere,
"Abraeus granulum",Abraeus,Abraeini,Abraeinae,Histeridae,Histeroidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Erichson, 1839","Liden kuglestumpbille",Stumpbiller,
"Abraeus perpusillus",Abraeus,Abraeini,Abraeinae,Histeridae,Histeroidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Marsham, 1802)","Brun kuglestumpbille",Stumpbiller,globosus
"Acalles camelus",Acalles,Cryptorhynchini,Curculioninae,Curculionidae,Curculionoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Fabricius, 1792)",,Snudebiller,
"Acalles echinatus",Acalles,Cryptorhynchini,Curculioninae,Curculionidae,Curculionoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",VU,Ja,"(Germar, 1824)",,Snudebiller,
"Acalles misellus",Acalles,Cryptorhynchini,Curculioninae,Curculionidae,Curculionoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"Boheman, 1844",,Snudebiller,turbatus
"Acalles ptinoides",Acalles,Cryptorhynchini,Curculioninae,Curculionidae,Curculionoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Marsham, 1802)",,Snudebiller,
"Acalyptus carpini",Acalyptus,Tychiini,Curculioninae,Curculionidae,Curculionoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Fabricius, 1792)",,Snudebiller,
"Acalyptus sericeus",Acalyptus,Tychiini,Curculioninae,Curculionidae,Curculionoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",VU,Ja,"Gyllenhal, 1836",,Snudebiller,
"Acanthocinus aedilis",Acanthocinus,Acanthocinini,Lamiinae,Cerambycidae,Chrysomeloidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Linnaeus, 1758)",Tømmermand,Træbukke,
"Acanthocinus griseus",Acanthocinus,,,Cerambycidae,Chrysomeloidea,Coleoptera,"Ikke-hjemmehørende arter. Upubl. (excel-fil)",,Nej,"(Fabricius, 1792)",,Træbukke,
"Acanthocinus reticulatus",Acanthocinus,,,Cerambycidae,Chrysomeloidea,Coleoptera,"Ikke-hjemmehørende arter. Upubl. (excel-fil)",,Nej,"(Razoumov, 1789)",,Træbukke,
"Acanthoscelides obtectus",Acanthoscelides,,,Chrysomelidae,Chrysomeloidea,Coleoptera,"Ikke-hjemmehørende arter. Upubl. (excel-fil)",,Nej,"Say, 1831",Bønnebille,Bladbiller,
