LNR,Family,Taxon,Distrikt,Lokalitet,Dato,Leg,Det,Coll,Note,DateDay,DateMonth,DateYear
6064,Aderidae,Aderus populneus,B,Rø Plantage,26071974,MH,MH,MH,,26,7,1974
41027,Aderidae,Aderus populneus,EJ,Vosnæsgård,27111997,K. J. Siewertz-Poulsen,K. J. Siewertz-Poulsen,K. J. Siewertz-Poulsen,,27,11,1997
6059,Aderidae,Aderus populneus,F,Glisholm Skov ved Odense,25031992,JBR,JBR,JBR,,25,3,1992
6060,Aderidae,Aderus populneus,LFM,Krenkerup,01041975,GP,GP,GP,jfr. 5 tillæg,1,4,1975
6063,Aderidae,Aderus populneus,NEZ,Store Dyrehave ved Hillerød,15101983,MH,MH,MH,,15,10,1983
6061,Aderidae,Aderus populneus,SZ,Vallø Dyrehave,06111982,MH,MH,MH,,6,11,1982
6097,Aderidae,Anidorus nigrinus,B,Stampen ved Rønne,30061994,MH,MH,MH,,30,6,1994
6088,Aderidae,Anidorus nigrinus,EJ,Rye Sønderskov,21061992,MR,MR,MR,,21,6,1992
6092,Aderidae,Anidorus nigrinus,F,Damsbo Skov,07061993,PJ,PJ,PJ,,7,6,1993
6093,Aderidae,Anidorus nigrinus,LFM,Bøtø Plantage,25061993,PJ,PJ,PJ,,25,6,1993
43025,Aderidae,Anidorus nigrinus,NEJ,Engskoven i Tofte Skov,04072004,JP,JP,JP,,4,7,2004
6096,Aderidae,Anidorus nigrinus,NEZ,Tisvilde Hegn,26061993,HL,HL,HL,,26,6,1993
41798,Aderidae,Anidorus nigrinus,NWZ,Bjerge Sydstrand,10071999,GP,GP,GP,,10,7,1999
6087,Aderidae,Anidorus nigrinus,SJ,Frøslev Plantage,21071974,OVJ,OVJ,OVJ,,21,7,1974
41456,Aderidae,Anidorus nigrinus,SZ,Vejlø,05071998,JP,JP,JP,,5,7,1998
6089,Aderidae,Anidorus nigrinus,WJ,Gødding Skov,13071985,MH,MH,MH,,13,7,1985
6107,Aderidae,Euglenes nitidifrons,NEZ,Teglstrup Hegn,27071995,HL,HL,HL,hun?,27,7,1995
41028,Aderidae,Euglenes oculatus,F,Æbelø,02071997,PJ,PJ,PJ,,2,7,1997
6070,Aderidae,Euglenes oculatus,F,Æbelø,15071922,VH,VH,OVJ,,15,7,1922
6071,Aderidae,Euglenes oculatus,LFM,Krenkerup,08071975,MH,MH,SK,,8,7,1975
6074,Aderidae,Euglenes oculatus,NEZ,Dyrehaven,30061971,VH,VH,OVJ,,30,6,1971
6072,Aderidae,Euglenes oculatus,SZ,Vemmetofte Dyrehave,06071968,MR,MR,MR,,6,7,1968
6082,Aderidae,Vanonus brevicornis,LFM,Lindeskov ved Nykøbing F.,07081993,JP,JP,JP,,7,8,1993
36904,Agyrtidae,Agyrtes bicolor,LFM,Gåbense,1888,,JP,ZM,,,,1888
36907,Agyrtidae,Agyrtes bicolor,NEZ,Dyrehaven,08111903,,JP,ZM,,8,11,1903
4125,Alexiidae,Sphaerosoma pilosum,B,Sose,10081977,GP,GP,GP,,10,8,1977
4116,Alexiidae,Sphaerosoma pilosum,EJ,Brakør,09081978,VM,VM,VM,,9,8,1978
4120,Alexiidae,Sphaerosoma pilosum,F,Næsbyhoved Skov ved Odense Havn,01121994,JBR,JBR,JBR,,1,12,1994
4121,Alexiidae,Sphaerosoma pilosum,LFM,"Tårup, Falster",28071981,MH,MH,MH,,28,7,1981
4119,Alexiidae,Sphaerosoma pilosum,NEJ,Gravlev Enge,02041893,,MH,ZM,,2,4,1893
4124,Alexiidae,Sphaerosoma pilosum,NEZ,Stampeskov ved Rådvad,19071981,MH,MH,MH,,19,7,1981
40475,Alexiidae,Sphaerosoma pilosum,NWJ,Krabbesholm,02112008,JP,JP,JP,,2,11,2008
4123,Alexiidae,Sphaerosoma pilosum,NWZ,Bromme Plantage,29081993,MH,MH,MH,,29,8,1993
42166,Alexiidae,Sphaerosoma pilosum,SJ,Pamhule Skov,18042000,GP,GP,,notat!,18,4,2000
4115,Alexiidae,Sphaerosoma pilosum,SJ,Tørning,10061926,,MH,ZM,,10,6,1926
4122,Alexiidae,Sphaerosoma pilosum,SZ,Lekkende,17071982,MH,MH,MH,,17,7,1982
4117,Alexiidae,Sphaerosoma pilosum,WJ,Gødding Skov,28031981,OVJ,OVJ,OVJ,,28,3,1981
6163,Anthicidae,Anthicus antherinus,B,Dueodde,22081979,SK,SK,SK,,22,8,1979
6154,Anthicidae,Anthicus antherinus,EJ,Rosenvold,01091963,OVJ,OVJ,OVJ,,1,9,1963
6158,Anthicidae,Anthicus antherinus,F,Bobakker på Helnæs,01091990,JBR,JBR,JBR,,1,9,1990
6159,Anthicidae,Anthicus antherinus,LFM,Klintholm Havn,05061960,KA,KA,KA,,5,6,1960
6157,Anthicidae,Anthicus antherinus,NEJ,Rønnerne (Frederikshavn),27061978,MH,MH,MH,,27,6,1978
6162,Anthicidae,Anthicus antherinus,NEZ,Bognæs Vesterskov,12061976,MH,MH,MH,,12,6,1976
6156,Anthicidae,Anthicus antherinus,NWJ,Kvols,27041995,MH,MH,MH,,27,4,1995
41455,Anthicidae,Anthicus antherinus,NWZ,"Overbjerg, Røsnæs",10051998,JP,JP,JP,,10,5,1998
6153,Anthicidae,Anthicus antherinus,SJ,Kammerslusen,07051977,PJ,PJ,PJ,,7,5,1977
6160,Anthicidae,Anthicus antherinus,SZ,Svinø Strand,25041986,MH,MH,MH,,25,4,1986
6155,Anthicidae,Anthicus antherinus,WJ,Myrtue,27031978,SK,SK,SK,,27,3,1978
6174,Anthicidae,Anthicus ater,B,Bastemosen,29051979,SK,SK,SK,,29,5,1979
6165,Anthicidae,Anthicus ater,EJ,Kolding,91890,,JP,NM,,,9,1890
6169,Anthicidae,Anthicus ater,F,Damsbo Strand,13031993,PJ,PJ,PJ,,13,3,1993
6170,Anthicidae,Anthicus ater,LFM,Hyllekrog,21091989,JP,JP,JP,,21,9,1989
6168,Anthicidae,Anthicus ater,NEJ,Danzigmand,26051993,MH,MH,MH,,26,5,1993
6173,Anthicidae,Anthicus ater,NEZ,Jægerspris Nordskov,21061970,,MH,ZM,,21,6,1970
6167,Anthicidae,Anthicus ater,NWJ,Bygholm Vejle,13051979,OVJ,OVJ,OVJ,,13,5,1979
6172,Anthicidae,Anthicus ater,NWZ,Dybesø ved Rørvig,13051926,,MH,ZM,,13,5,1926
6164,Anthicidae,Anthicus ater,SJ,Vargårde,22081932,,MH,ZM,,22,8,1932
6171,Anthicidae,Anthicus ater,SZ,Glænø,17081947,,JP,NM,,17,8,1947
42189,Anthicidae,Anthicus ater,SZ,Kostræde Banker,08042000,JP,JP,JP,,8,4,2000
6229,Anthicidae,Anthicus bimaculatus,B,Dueodde,27051979,SK,SK,SK,,27,5,1979
6220,Anthicidae,Anthicus bimaculatus,EJ,Anholt,06061975,MR,MR,MR,,6,6,1975
6224,Anthicidae,Anthicus bimaculatus,F,Ærø,(ca. 1930-1940),Christiani,Christiani,,(jfr. West 1947 ) - eks. ikke set ,,,
6225,Anthicidae,Anthicus bimaculatus,LFM,Hyllekrog,12051994,MH,MH,JP,,12,5,1994
6223,Anthicidae,Anthicus bimaculatus,NEJ,Råbjerg Mile,23041983,OVJ,OVJ,OVJ,,23,4,1983
6228,Anthicidae,Anthicus bimaculatus,NEZ,Hundige Strand,16071995,OM,OM,ZM,,16,7,1995
6222,Anthicidae,Anthicus bimaculatus,NWJ,Klim Strand,09061982,FB,FB,ZM,,9,6,1982
42417,Anthicidae,Anthicus bimaculatus,NWZ,Skæreby,1953,Nikolaj Vestergaard Hansen,JP,Nikolaj Vestergaard Hansen,,,,1953
42190,Anthicidae,Anthicus bimaculatus,SJ,Emmerlev Klev,19042000,MH,MH,MH,,19,4,2000
41797,Anthicidae,Anthicus bimaculatus,SZ,Strøby Egede,16051999,GP,GP,GP,,16,5,1999
6221,Anthicidae,Anthicus bimaculatus,WJ,Nymindegab,19051977,VM,VM,VM,,19,5,1977
6207,Anthicidae,Anthicus flavipes,B,Sose Odde,14061991,VM,VM,VM,,14,6,1991
6198,Anthicidae,Anthicus flavipes,EJ,Staksrode,06101973,OVJ,OVJ,OVJ,,6,10,1973
6202,Anthicidae,Anthicus flavipes,F,Ristinge Klint,11071978,MH,MH,MH,,11,7,1978
6203,Anthicidae,Anthicus flavipes,LFM,Resle Skov,09081986,SK,SK,SK,,9,8,1986
6201,Anthicidae,Anthicus flavipes,NEJ,Rønnerne (Frederikshavn),27061978,MH,MH,MH,,27,6,1978
6206,Anthicidae,Anthicus flavipes,NEZ,Lynæs,04041993,MH,MH,,notat!,4,4,1993
6200,Anthicidae,Anthicus flavipes,NWJ,Kvols,03091994,JBR,JBR,JBR,,3,9,1994
41025,Anthicidae,Anthicus flavipes,NWZ,Sejerø,30081997,KA,KA,KA,,30,8,1997
6205,Anthicidae,Anthicus flavipes,NWZ,Veddinge Strand,25071956,,MH,ZM,,25,7,1956
6197,Anthicidae,Anthicus flavipes,SJ,Rømødæmningen,12031993,OVJ,OVJ,,notat!,12,3,1993
6204,Anthicidae,Anthicus flavipes,SZ,Knudsskov,22041984,SK,SK,SK,,22,4,1984
6199,Anthicidae,Anthicus flavipes,WJ,Myrtue,27031978,SK,SK,SK,,27,3,1978
6185,Anthicidae,Anthicus floralis,B,Ekkodalen,18091965,,MH,ZM,,18,9,1965
6176,Anthicidae,Anthicus floralis,EJ,Bredballe,09071963,OVJ,OVJ,OVJ,,9,7,1963
6180,Anthicidae,Anthicus floralis,F,Østrig ved Tranekær,03061979,MH,MH,,notat!,3,6,1979
6181,Anthicidae,Anthicus floralis,LFM,Bøtø Plantage,17051982,MH,MH,MH,,17,5,1982
6179,Anthicidae,Anthicus floralis,NEJ,Lindum Skov,14101979,SK,SK,SK,,14,10,1979
6184,Anthicidae,Anthicus floralis,NEZ,Jægersborg Dyrehave,30081961,KA,KA,KA,,30,8,1961
6178,Anthicidae,Anthicus floralis,NWJ,Lihme,26061987,GP,GP,GP,,26,6,1987
6183,Anthicidae,Anthicus floralis,NWZ,Kongstrup Klint på Røsnæs,28081993,JP,JP,,notat!,28,8,1993
6175,Anthicidae,Anthicus floralis,SJ,Sønderborg,12071963,OVJ,OVJ,OVJ,,12,7,1963
6182,Anthicidae,Anthicus floralis,SZ,Svinø Strand,27071972,MH,MH,MH,,27,7,1972
6177,Anthicidae,Anthicus floralis,WJ,Ejstrupholm,01081972,VM,VM,VM,,1,8,1972
6196,Anthicidae,Anthicus formicarius,B,Randkløvegård,01071994,JP,JP,,notat!,1,7,1994
6187,Anthicidae,Anthicus formicarius,EJ,Assendrup,25081963,OVJ,OVJ,OVJ,,25,8,1963
6191,Anthicidae,Anthicus formicarius,F,Østrig ved Tranekær,03061979,MH,MH,,notat!,3,6,1979
6192,Anthicidae,Anthicus formicarius,LFM,Bøtø Plantage,17051982,MH,MH,MH,,17,5,1982
6190,Anthicidae,Anthicus formicarius,NEJ,"Nordmarken, Læsø",27051993,MH,MH,,notat!,27,5,1993
