Lokalitet,Distrikt,YKoord,XKoord,GI,Genstand
Abbetved,NEZ,6168920,683586,1,30
Abed,LFM,6078988,649560,1,30
Abelinesgård,WJ,6200549,447389,1,170
Abellund,NEZ,6217649,715467,1,90
Abelshoved,EJ,6217385,577738,1,580
Abild,SJ,6092670,491488,1,10
Abild Hede,WJ,6167544,484632,1,370
Abild Mark,SJ,6093177,490096,1,40
Abildgård,SJ,6128616,535721,1,80
Abildgård,EJ,6177281,547017,1,90
Abildgårde,NEJ,6309606,544926,1,40
Abildhave,NWJ,6324840,494671,1,40
Abildhede,WJ,6168089,483201,1,30
Abildholt,WJ,6246846,492837,1,40
Abildholt Hede,WJ,6247781,493373,1,270
Abildhoved,EJ,6189779,566607,1,570
Abildro,F,6154762,567335,1,30
Abildskov,EJ,6223180,526540,1,30
Abildskov,F,6123142,575139,1,40
Abildtorpe,LFM,6081544,638240,1,40
Abildtorpe Mose,LFM,6080043,638943,1,30
Abildtrup,WJ,6218756,483367,1,40
Abildøre,NWZ,6190747,668085,1,30
Abildå,WJ,6220570,477461,4,420
Abildå = Abildå By,WJ,6225005,476204,8,30
Abkær,SJ,6113946,520460,1,30
Abkær Mose,SJ,6114744,521663,1,390
Aborg,F,6128402,558991,1,30
Aborg Mark,F,6129122,557885,1,40
Aborg Minde,F,6130534,557120,1,40
Aborg Strand,F,6128846,556860,1,40
Aborrebjerg 143m,LFM,6098493,726078,5,540
Abterp,SJ,6103760,485786,1,30
Adamsgave,LFM,6082807,637654,1,90
Adamshøj,SZ,6147918,680397,1,80
Adbøl,NWJ,6291989,461217,1,40
Addit,EJ,6210881,538336,1,30
Addit Mark,EJ,6209737,537964,1,40
Addit Skov,EJ,6212050,538152,1,350
Addithus Avlsgård,EJ,6211737,538224,1,80
Additnæs,EJ,6213366,538696,4,630
Adelvad,SJ,6092673,499011,1,40
Adsbøl,SJ,6088384,539995,1,10
Adsbøl,WJ,6182194,471763,1,40
Adsersbøl,WJ,6156219,498882,1,40
Adsersbølgård,WJ,6157039,499478,1,60
Adslev,EJ,6217934,562015,1,30
Aflandshage,NEZ,6162592,726639,1,580
Agdrup v. Brønderslev,NEJ,6349419,555667,3,40
Agdrup v. Vestbjerg,NEJ,6331139,559727,3,80
Agedrup,F,6143885,594341,1,30
Ager Vejle,NWJ,6287552,474055,1,30
Agerbæk,WJ,6161834,487481,1,10
Agerbæk,NWJ,6260278,491124,1,40
Agerbæklund,WJ,6163251,487543,1,30
Agerholm,NEJ,6363299,580781,1,100
Agerhøj 27m,NEJ,6311870,525609,5,540
Agerkrog,WJ,6175442,474287,1,40
Agerland Høj 72m,WJ,6152533,506410,5,540
Agernæs,F,6116841,563108,7,90
Agernæs Flak,F,6164748,579559,6,700
Agernæs Fælled,F,6163239,583160,1,270
Agernæs v. Helnæs,F,6116734,563299,3,630
Agernæs v. Tørresø,F,6160751,584475,3,30
Agernæs v. Æbelø,F,6164638,581512,3,580
Agernæsgård,F,6161323,585694,1,80
Agersbæk,WJ,6223213,453731,1,30
Agersbøl,EJ,6183203,537532,2,60
Agersbøl,EJ,6182622,537567,7,40
Agershvile,NEZ,6193449,723116,1,90
Agersig,WJ,6207978,489324,1,40
Agerskov,SJ,6109477,508269,1,10
Agerskov,EJ,6214438,564150,1,80
Agerskov Hede,WJ,6235068,509177,1,40
Agerskov Høj 62m,NWJ,6253147,518842,5,300
Agerskov Plantage,WJ,6234883,508182,1,350
Agerskov v. Hammerum,WJ,6220091,504232,3,40
Agerskov v. Klinkby,NWJ,6270724,451158,3,30
Agerskov v. Kølvrå,WJ,6234835,511269,3,40
Agerskov v. Ravnstrup,NWJ,6251969,518750,3,40
Agersnap,WJ,6183950,480587,1,40
Agersted,NEJ,6340526,583495,1,10
Agersted Bakker 58m,NEJ,6339946,582994,5,540
Agersted Fælled,NEJ,6339203,584116,1,40
Agerstedskov,NEJ,6339515,582733,1,40
Agersvold,NWZ,6174407,652666,1,60
Agersvold Enghave,NWZ,6174461,653390,1,390
Agersø,SZ,6120278,639271,4,610
Agersø = Agersø By,SZ,6120717,639551,8,30
Agersø Flak,SZ,6119701,636215,6,700
Agersø Sund,SZ,6121534,640921,6,660
Agerup,EJ,6192909,601046,1,40
Agerup,NEZ,6161242,677179,1,40
Agerup,SZ,6125768,664889,1,30
Agerupgård,LFM,6073938,667745,1,60
Agervig,WJ,6166232,475224,1,40
Agerø,NWJ,6285461,474010,1,610
Aggebo,NEZ,6217694,702202,1,40
Aggebo Hegn,NEZ,6218338,702282,1,350
Agger,NWJ,6293551,453811,1,10
Agger Tange,NWJ,6288614,453089,1,590
Aggersborg,NEJ,6317086,515755,1,30
Aggersborggård,NEJ,6316957,515520,1,60
Aggersund,NEJ,6317978,517060,2,10
Aggersund,NEJ,6316763,517402,4,660
Aggerup,SZ,6141148,702122,1,30
Aggestrup,EJ,6197444,562606,1,30
Agnethesminde,EJ,6161909,530176,1,90
Agri,EJ,6233030,594493,1,30
Agri Bavnehøj 137m,EJ,6232938,595337,5,540
Agsø,SJ,6095999,529899,1,400
Agtrup,EJ,6146730,535180,1,30
Agtrup Mark,EJ,6147413,536389,1,40
Agtrup Vig,EJ,6149809,537099,6,670
Agtrupskov,EJ,6148648,536530,1,40
Agtrupvig,EJ,6149235,537308,2,30
Ahl,EJ,6226806,602355,1,50
Ahl Hage,EJ,6228270,601841,1,580
Ahl Plantage,EJ,6227785,602036,1,350
Ahler Gårde,WJ,6201795,482022,1,40
Aidt,EJ,6241738,548931,1,10
Aidt Hede,EJ,6243321,549221,1,40
Ajke,WJ,6147942,485534,1,40
Ajshøj 32m,NWJ,6264306,515798,5,300
Ajstrup,NWJ,6265031,510122,1,40
Ajstrup Bugt,EJ,6283880,573951,6,670
Ajstrup Hede v. Lundby Hede,NEJ,6310813,529647,3,370
Ajstrup Hede v. Sulsted,NEJ,6336527,560444,3,40
Ajstrup Kirke,NEJ,6338016,558454,1,70
Ajstrup Mose,NEJ,6337738,562996,1,390
Ajstrup Strand,EJ,6210932,579025,1,50
Ajstrup v. Hadsund,EJ,6283328,571280,3,30
Ajstrup v. Hjørring,NEJ,6366729,568736,3,30
