Lokalitet,Distrikt,LNR,Family,Taxon,Dato,Leg,Det,Coll,Note,DateDay,DateMonth,DateYear,YKoord,XKoord,GI,Genstand,Lat,Lng
Aagesholm,NEZ,35224,Dytiscidae,Hydaticus aruspex,16041938,,JP,ZM,,16,4,1938,NA,NA,NA,NA,,
Åbenrå,SJ,1099,Byturidae,Byturus tomentosus,11071973,GP,GP,GP,,11,7,1973,NA,NA,NA,NA,55.040852,9.415158900000002
Åbenrå,SJ,33136,Carabidae,Abax parallelepipedus,(ca. 1970),,MH,,notat!,NA,NA,1970,NA,NA,NA,NA,55.040852,9.415158900000002
Åbenrå,SJ,12599,Curculionidae,Polydrusus pterygomalis,13061921,,JP,ZM,,13,6,1921,NA,NA,NA,NA,55.040852,9.415158900000002
Åbenrå,SJ,17736,Curculionidae,Scolytus laevis,11071973,GP,GP,GP,,11,7,1973,NA,NA,NA,NA,55.040852,9.415158900000002
Åbenrå,SJ,9893,Chrysomelidae,Chrysolina oricalcia,11071973,GP,GP,GP,,11,7,1973,NA,NA,NA,NA,55.040852,9.415158900000002
Åbenrå,SJ,38097,Staphylinidae,Neuraphes angulatus,13061921,,JP,ZM,,13,6,1921,NA,NA,NA,NA,55.040852,9.415158900000002
Åbenrå,SJ,8496,Cerambycidae,Anoplodera sanguinolenta,1882,,MH,ZM,,NA,NA,1882,NA,NA,NA,NA,55.040852,9.415158900000002
Åbenrå,SJ,10234,Chrysomelidae,Chrysomela tremula,10071973,GP,GP,GP,jfr. 4. tillæg,10,7,1973,NA,NA,NA,NA,55.040852,9.415158900000002
Åbenrå,SJ,19166,Dasytidae,Dasytes cyaneus,61936,,JP,ZM,,NA,6,1936,NA,NA,NA,NA,55.040852,9.415158900000002
Åbenrå,SJ,29869,Staphylinidae,Oxypoda flavicornis,1936,Hartvig Jensen,VM,NM,,NA,NA,1936,NA,NA,NA,NA,55.040852,9.415158900000002
Åbenrå,SJ,26833,Staphylinidae,Falagria sulcatula,1930,,VM,NM,,NA,NA,1930,NA,NA,NA,NA,55.040852,9.415158900000002
Åbenrå,SJ,6450,Mordellidae,Mordellochroa abdominalis,11071973,GP,GP,GP,,11,7,1973,NA,NA,NA,NA,55.040852,9.415158900000002
Åbenrå,SJ,21179,Staphylinidae,Anthophagus caraboides,22081974,,JP,ZM,,22,8,1974,NA,NA,NA,NA,55.040852,9.415158900000002
Åbenrå (Havnen ),SJ,40503,Tenebrionidae,Palorus subdepressus,27092009,JP,JP,JP,,27,9,2009,NA,NA,NA,NA,55.044697,9.4255129
Åbenrå (Havnen),SJ,43589,Ptinidae,Ptinus tectus,27092009,OVJ,OVJ,OVJ,,27,9,2009,NA,NA,NA,NA,55.044697,9.4255129
Åbenrå (Havnen),SJ,43653,Tenebrionidae,Tribolium confusum,20092009,JP,JP,JP,,20,9,2009,NA,NA,NA,NA,55.044697,9.4255129
Åbenrå (Havnen),SJ,43600,Silvanidae,Oryzaephilus surinamensis,27092009,OVJ,OVJ,OVJ,,27,9,2009,NA,NA,NA,NA,55.044697,9.4255129
Åbenrå (Havnen),SJ,43703,Curculionidae,Sitophilus granarius,20092009,JP,JP,JP,,20,9,2009,NA,NA,NA,NA,55.044697,9.4255129
Åbenrå (Havnen),SJ,43705,Curculionidae,Sitophilus zeamais,20092009,JP,JP,JP,,20,9,2009,NA,NA,NA,NA,55.044697,9.4255129
Åbenrå (Havnen),SJ,43609,Laemophloeidae,Cryptolestes pusillus,27092009,OVJ,OVJ,OVJ,,27,9,2009,NA,NA,NA,NA,55.044697,9.4255129
Åbenrå (Havnen),SJ,43595,Cleridae,Necrobia ruficollis,27092009,OVJ,OVJ,OVJ,,27,9,2009,NA,NA,NA,NA,55.044697,9.4255129
Åbenrå (Havnen),SJ,43592,Ptinidae,Stegobium paniceum,27092009,OVJ,OVJ,OVJ,,27,9,2009,NA,NA,NA,NA,55.044697,9.4255129
Åbenrå (Havnen),SJ,43645,Mycetophagidae,Typhaea haagi,20092009,JP,JP,JP,,20,9,2009,NA,NA,NA,NA,55.044697,9.4255129
Åbenrå (Havnen),SJ,43658,Tenebrionidae,Palorus ratzeburgii,27092009,JP,JP,JP,,27,9,2009,NA,NA,NA,NA,55.044697,9.4255129
Åbenrå (Havnen),SJ,43602,Silvanidae,Oryzaephilus mercator,27092009,OVJ,OVJ,OVJ,,27,9,2009,NA,NA,NA,NA,55.044697,9.4255129
Åbenrå (Havnen),SJ,43611,Laemophloeidae,Cryptolestes turcicus,27092009,OVJ,OVJ,OVJ,,27,9,2009,NA,NA,NA,NA,55.044697,9.4255129
Åbenrå Skov,SJ,29638,Staphylinidae,Oxypoda vittata,1936,,VM,NM,,NA,NA,1936,NA,NA,NA,NA,55.0364,9.389128099999999
Åbenrå Sønderskov,SJ,11070,Chrysomelidae,Altica brevicollis,24061921,,VH,ZM,hun,24,6,1921,NA,NA,NA,NA,55.025567,9.384258
Abkær Mose,SJ,25568,Staphylinidae,Bolitobius castaneus,27081978,VM,VM,VM,,27,8,1978,6114744,521663,1,390,9.34016614538932,55.17882522801435
Abkær Mose,SJ,35292,Dytiscidae,Acilius canaliculatus,24061981,PJ,PJ,PJ,,24,6,1981,6114744,521663,1,390,9.34016614538932,55.17882522801435
Aborg Strand,F,10052,Chrysomelidae,Oreina caerulea,03081972,GP,MH,SK,,3,8,1972,6128846,556860,1,40,9.895643457719746,55.302737606705705
Aborg Strand,F,21976,Staphylinidae,Bledius filipes,10081986,PJ,PJ,PJ,,10,8,1986,6128846,556860,1,40,9.895643457719746,55.302737606705705
Aborg Strand,F,26024,Staphylinidae,Cypha laeviuscula,1970erne,VM,VM,,notat!,NA,NA,NA,6128846,556860,1,40,9.895643457719746,55.302737606705705
Aborg Strand,F,30930,Carabidae,Dyschirius angustatus,10081986,PJ,PJ,PJ,,10,8,1986,6128846,556860,1,40,9.895643457719746,55.302737606705705
